,age,gender,device_type,ad_position,browsing_history,time_of_day,click
0,22.0,Male,Desktop,Top,Shopping,Afternoon,1
1,40.339417052574234,Male,Desktop,Top,Entertainment,Morning,1
2,41.0,Non-Binary,Desktop,Side,Education,Night,1
3,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
4,39.0,Non-Binary,Desktop,Bottom,Social Media,Morning,0
5,40.339417052574234,Non-Binary,Desktop,Bottom,Social Media,Evening,1
6,26.0,Female,Desktop,Top,Entertainment,Morning,1
7,40.0,Male,Mobile,Side,Entertainment,Evening,0
8,40.339417052574234,Non-Binary,Mobile,Bottom,Social Media,Morning,1
9,40.339417052574234,Male,Desktop,Bottom,Education,Afternoon,1
10,40.339417052574234,Male,Desktop,Bottom,Entertainment,Morning,1
11,47.0,Male,Mobile,Bottom,Entertainment,Afternoon,1
12,40.339417052574234,Non-Binary,Mobile,Side,Education,Afternoon,0
13,19.0,Male,Desktop,Bottom,Entertainment,Morning,1
14,40.339417052574234,Male,Mobile,Bottom,Entertainment,Morning,1
15,40.339417052574234,Male,Desktop,Top,Entertainment,Afternoon,0
16,40.339417052574234,Male,Tablet,Bottom,Entertainment,Morning,1
17,56.0,Female,Tablet,Bottom,News,Morning,1
18,40.339417052574234,Male,Desktop,Top,Entertainment,Evening,1
19,24.0,Male,Tablet,Side,Entertainment,Night,0
20,40.339417052574234,Male,Mobile,Bottom,Entertainment,Afternoon,1
21,52.0,Male,Tablet,Bottom,News,Morning,1
22,39.0,Male,Desktop,Top,Entertainment,Morning,1
23,42.0,Male,Desktop,Top,Entertainment,Night,1
24,36.0,Male,Tablet,Bottom,Entertainment,Morning,1
25,43.0,Male,Tablet,Bottom,Education,Afternoon,1
26,62.0,Male,Mobile,Bottom,Entertainment,Night,0
27,45.0,Male,Desktop,Bottom,Education,Morning,1
28,37.0,Female,Desktop,Top,Entertainment,Evening,1
29,40.339417052574234,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
30,31.0,Male,Tablet,Top,Entertainment,Morning,1
31,26.0,Female,Mobile,Top,Entertainment,Afternoon,1
